Key;Russian;English;Tatar;Chuvash
ProductAlreadyInList;"Товар ""{0}"" уже добавлен в список.
Текущее количество: {1} {2}

Заменить количество новым значением?";"Product ""{0}"" is already added to the list.
Current quantity: {1} {2}

Replace the quantity with a new value?";"""{0}"" товары инде өстәлгән. Хәзерге саны: {1} {2}. Санны яңа кыйммәткә алыштырыргамы?";"""{0}"" товарӗ списокра пурӗ. Хальхи шут: {1} {2}. Шута ҫӗннипе улӑштарма?"
SelectCategoryForDelete;Выберите категорию для удаления;Select a category to delete;Бетерү өчен категорияне сайлагыз;Катӑртмалли категорине суйласа илӗр
SelectCategoryForEdit;Выберите категорию для редактирования;Select a category to edit;Үзгәртү өчен категорияне сайлагыз;Улӑштармалли категорине суйласа илӗр
SelectProductForDelete;Выберите товар для удаления;Select a product to delete;Бетерү өчен товарны сайлагыз;Катӑртмалли товара суйласа илӗр
SelectProductForEdit;Выберите товар для редактирования;Select a product to edit;Үзгәртү өчен товарны сайлагыз;Улӑштармалли товара суйласа илӗр
ShipmentHistoryTitle;История отгрузок - Отгружено: {0} ед. | Списано: {1} ед. | Сумма: {2:C2} | Прибыль: {3:C2} | Убыток: {4:C2};Shipment history - Shipped: {0} units | Written off: {1} units | Amount: {2:C2} | Profit: {3:C2} | Loss: {4:C2};Отгрузкалар тарихы - Җибәрелде: {0} бер. | Списание: {1} бер. | Сумма: {2:C2} | Табыш: {3:C2} | Зыян: {4:C2};Ӑсату историйӗ - Ӑсатнӑ: {0} | Списани: {1} | Суммӑ: {2:C2} | Тупӑш: {3:C2} | Ҫухату: {4:C2}
StatusSaving;Сохранение...;Saving...;Саклау...;Сохранени...
StorekeeperRoleName;Кладовщик;Storekeeper;Складчы;Кладовщик
SupplyStatusCompleted;Оформлена;Completed;Рәсмиләштерелде;Хатӗрленӗ
UnknownSupplier;Не указан;Not specified;Билгесез Тәэмин итүче;Кӑтартман
WarningShipmentsWithoutItems;Найдено {0} отгрузок, но ни одна не содержит позиций!;Found {0} shipments, but none contains items!;{0} отгрузка табылды, ләкин берсендә дә позицияләр юк!;Асӑрхантару Ӑсатусем Without Позици
WarningNoProductExpiryDate;У выбранного товара нет срока годности. Дата поставки не требуется.;The selected product has no expiration date. Supply date is not required.;Сайланган товарның яраклылык срогы юк. Поставка датасы кирәк түгел.;Асӑрхантару ҫук Товар Юрӑхлӑх Дата
WarningCurrencyRatesFallback;Не удалось загрузить актуальные курсы валют. Используются резервные значения.;Failed to load current currency rates. Fallback values are used.;Актуаль валюта курсларын йөкләп булмады. Резерв кыйммәтләр кулланыла.;Ӑнӑҫмарӗ: загрузить актуальные курсы валют. Используются резервные значения.
WarningCurrencyRatesFailed;Ошибка загрузки курсов валют: {0};Currency rate loading error: {0};Валюта курсларын йөкләү хатасы: {0};Асӑрхантару Валюта Курссем Ӑнӑҫмарӗ
WarningUsingCachedRates;Используются сохранённые курсы валют (интернет недоступен);Saved currency rates are used (internet is unavailable);Сакланган валюта курслары кулланыла (интернет юк);Асӑрхантару Усӑ курни Кэш Курссем
SuccessAutoWriteOffMessage;Списано {0} просроченных товаров.;{0} expired products were written off.;Яраклылык срогы чыккан {0} товар списание ителде.;{0} вӑхӑт иртнӗ товар списани тухнӑ.
SuccessCategoryAdded;"Категория ""{0}"" успешно добавлена!";"Category ""{0}"" was successfully added!";"""{0}"" категориясе уңышлы өстәлде!";"Категория ""{0}"" ӑнӑҫлӑ добавлена!"
SuccessCategoryAndProductsDeleted;"Категория ""{0}"" и все ({1}) товары в ней успешно удалены!";"Category ""{0}"" and all ({1}) products in it were successfully deleted!";"""{0}"" категориясе һәм андагы барлык ({1}) товар уңышлы бетерелде!";"Категория ""{0}"" и все ({1}) товарсем в ней ӑнӑҫлӑ удалены!"
SuccessCategoryDeleted;"Категория ""{0}"" успешно удалена!";"Category ""{0}"" was successfully deleted!";"""{0}"" категориясе уңышлы бетерелде!";"Категория ""{0}"" ӑнӑҫлӑ удалена!"
SuccessCategoryRenamed;"Категория ""{0}"" успешно переименована в ""{1}""!";"Category ""{0}"" was successfully renamed to ""{1}""!";"""{0}"" категориясе ""{1}"" итеп уңышлы үзгәртелде!";"Категория ""{0}"" ӑнӑҫлӑ переименована в ""{1}""!"
SuccessExportFormat;Данные успешно экспортированы в файл: {0};Data was successfully exported to file: {0};Мәгълүмат файлга уңышлы экспортланды: {0};Данные ӑнӑҫлӑ экспортированы в файл: {0}
SuccessImportFormat;Успешно импортировано {0} товаров!;Successfully imported {0} products!;{0} товар уңышлы импортланды!;Ӑнӑҫлӑ импортировано {0} товарсен!
SuccessProductAdded;Товар успешно добавлен!;Product was successfully added!;Товар уңышлы өстәлде!;Товар ӑнӑҫлӑ добавлен!
SuccessProductAddedToList;Товар добавлен в список отгрузки;Product added to the shipment list;Товар отгрузка исемлегенә өстәлде;Ӑнӑҫу Товар Хушнӑ To Список
SuccessProductDeleted;Товар успешно удален!;Product was successfully deleted!;Товар уңышлы бетерелде!;Товар ӑнӑҫлӑ удален!
SuccessProductUpdated;Товар успешно обновлен!;Product was successfully updated!;Товар уңышлы яңартылды!;Товар ӑнӑҫлӑ обновлен!
SuccessRegistrationWithDetails;"Регистрация успешна!

Логин: {0}
ФИО: {1}

Теперь вы можете войти в систему.";"Registration successful!

Login: {0}
Full name: {1}

Now you can log in.";"Теркәлү уңышлы!

Логин: {0}
ФИО: {1}

Хәзер системага керә аласыз.";Ӑнӑҫу Регистраци пур детальсем
SuccessShipmentCreatedWithDetails;"Отгрузка успешно оформлена!

Получатель: {0}
Количество позиций: {1}
Общая сумма: {2:C2}";"Shipment created successfully!

Recipient: {0}
Number of items: {1}
Total amount: {2:C2}";"Отгрузка уңышлы рәсмиләштерелде!

Алучы: {0}
Позицияләр саны: {1}
Гомуми сумма: {2:C2}";"Отгрузка ӑнӑҫлӑ оформлена!

Получатель: {0}
Количество позиций: {1}
Общая сумма: {2:C2}"
SuccessSupplyFormat;"Поставка оформлена!

Номер: {0}
Дата: {1}
Товаров в поставке: {2}
Общая сумма: {3}";"Supply completed!

Number: {0}
Date: {1}
Products in supply: {2}
Total amount: {3}";"Поставка рәсмиләштерелде!

Номер: {0}
Дата: {1}
Поставкадагы товарлар: {2}
Гомуми сумма: {3}";Поставка хатӗрленӗ! №: {0}, Вӑхӑчӗ: {1}, Товарсен шучӗ: {2}, Пӗтӗм суммӑ: {3}
TitleAutoWriteOff;Автоматическое списание;Automatic write-off;Автоматик списание;Автоматла списани
TitleConfirmation;Подтверждение;Confirmation;Раслау;Ҫирӗплетни
TitleDeleteConfirmation;Подтверждение удаления;Delete confirmation;Бетерүне раслау;Катӑртнине ҫирӗплетни
TitleError;Ошибка;Error;Хата;Йӑнӑш
TitleInformation;Информация;Information;Мәгълүмат;Информаци
TitleProductAlreadyInList;Товар уже в списке;Product is already in the list;Товар инде исемлектә;Товар списокра пур ӗнтӗ
TitleRemoveConfirmation;Подтверждение удаления;Delete confirmation;Бетерүне раслау;Катӑртнине ҫирӗплетни
TitleSuccess;Успех;Success;Уңыш;Уңӑҫ
TitleWarning;Внимание;Warning;Игътибар;Асӑрхани
Unit_Piece_Short;шт;pcs;данә;данӑ
BatchNumberFormat;Партия_{0:yyyyMM};Batch_{0:yyyyMM};Партия_{0:yyyyMM};Batch Number Формат
CategoryDisplayFormat_WithCount;{0} (товаров: {1});{0} (products: {1});{0} (товар: {1});{0} (товарсен: {1})
CategoryItemFormat;{0} (товаров: {1});{0} (products: {1});{0} (товар: {1});{0} (товарсен: {1})
ComboItemFormat;{0} - {1} (остаток: {2});{0} - {1} (stock: {2});{0} - {1} (калдык: {2});Combo Позици Формат
ConfirmDeleteSupplyItem;"Вы действительно хотите удалить товар ""{0} - {1}"" из списка поставки?";"Do you really want to remove product ""{0} - {1}"" from the supply list?";"""{0} - {1}"" товарын поставка исемлегеннән бетерергәме?";Ҫирӗплетни Катӑртни Поставка Позици
CurrencyFormat_Rub;{0:N2} руб.;{0:N2} RUB;{0:N2} сум.;Валюта Формат Rub
ExpiryDisplayFormat_WithBalance;Срок: {0:dd.MM.yyyy} (остаток: {1});Expiration: {0:dd.MM.yyyy} (stock: {1});Срок: {0:dd.MM.yyyy} (калдык: {1});Юрӑхлӑх Кӑтартни Формат пур Юлашки
FileNameDateFormat;yyyyMMdd_HHmmss;yyyyMMdd_HHmmss;yyyyMMdd_HHmmss;yyyyMMdd_HHmmss
NoExpiryDisplayFormat;Без срока (остаток: {0});No expiration date (stock: {0});Сроксыз (калдык: {0});ҫук Юрӑхлӑх Кӑтартни Формат
ProductDisplayFormat_WithBalance;{0} - {1} (остаток: {2} {3});{0} - {1} (stock: {2} {3});{0} - {1} (калдык: {2} {3});Товар Кӑтартни Формат пур Юлашки
RussianRuble;Российский рубль;Russian ruble;Россия сумы;Раҫҫей рублӗ
SaveFileDefaultExt_CSV;csv;csv;csv;csv
SaveFileFileNameTemplate_Report;Отчет_{0};Report_{0};Хисап_{0};Отчет_{0}
SaveFileFilter_CSV;CSV файлы (*.csv)|*.csv|Все файлы (*.*)|*.*;CSV files (*.csv)|*.csv|All files (*.*)|*.*;CSV файлы (*.csv)|*.csv|Все файлы (*.*)|*.*;CSV файлы (*.csv)|*.csv|Все файлы (*.*)|*.*
ShipmentForm_TitleFormat;Формирование отгрузки - Общая сумма: {0:F2}, Прибыль: {1:F2};Shipment creation - Total amount: {0:F2}, Profit: {1:F2};Отгрузканы формалаштыру - Гомуми сумма: {0:F2}, Табыш: {1:F2};Ӑсату Форма Ят Формат
SupplierNotFoundFormat;{0} (поставщик '{1}' не найден);{0} (supplier '{1}' not found);{0} (тәэмин итүче '{1}' табылмады);{0} (поставщик '{1}' тупӑнмарӗ)
TitleConfirmDelete;Подтверждение удаления;Delete confirmation;Бетерүне раслау;Катӑртнине ҫирӗплетни
ShipmentType_Supply;Поставка;Supply;Поставка;Поставка
ColumnArticle;Артикул;Article;Артикул;Артикул
ColumnName;Наименование;Name;Исеме;Ячӗ
ColumnCategory;Категория;Category;Категория;Категори
ColumnUnit;Ед. изм.;Unit;Үлч. бер.;Виҫе пӗрл.
ColumnExpiryDate;Срок годности;Expiration date;Яраклылык срогы;Юрӑхлӑх вӑхӑчӗ
ColumnPrice;Цена закупки;Purchase price;Сатып алу бәясе;Илӳ хакӗ
ColumnPurchasePrice;Цена;Price;Бәя;Хак
ColumnPurchasePriceFormat;Цена ({0});Column Purchase Price Format;Бәя ({0});Колонкӑ Илӳ Хак Формат
ColumnBalance;Остаток;Stock;Калдык;Юлашки
History_Number;№;History  Number;№;№
History_Article;Артикул;Article;Артикул;Артикул
History_Name;Название;Name;Исеме;Ячӗ
History_Quantity;Количество;Quantity;Сан;Шут
History_Price;Цена;Price;Бәя;Хак
History_Profit;Прибыль;Profit;Табыш;Тупӑш
History_Total;Сумма;Amount;Сумма;Сумма
History_Recipient;Получатель;Recipient;Алучы;Илекен
History_Storekeeper;Кладовщик;Storekeeper;Складчы;Кладовщик
History_Date;Дата;Date;Дата;Дата
Report_Article;Артикул;Article;Артикул;Артикул
Report_Name;Название;Name;Исеме;Ячӗ
Report_Quantity;Количество;Quantity;Сан;Шут
Report_Price;Цена;Price;Бәя;Хак
Report_Profit;Прибыль;Profit;Табыш;Тупӑш
Report_Total;Сумма;Amount;Сумма;Сумма
Report_Recipient;Получатель;Recipient;Алучы;Илекен
Report_Storekeeper;Кладовщик;Storekeeper;Складчы;Кладовщик
Report_Date;Дата;Date;Дата;Дата
NotListed;Не указан;Not specified;Күрсәтелмәгән;Кӑтартман
ND;Н/Д;N D;Юк;Н/Д
AddCategory_Title;Добавить категорию;Add Category;Категория өстәү;Добавить категорине
AddCategory_LabelText;Добавить категорию;Add Category;Категория өстәү;Добавить категорине
AddCategory_ButtonAddText;Добавить;Add Category  Button Add Text;Өстәү;Хуш
AddCategory_ButtonCancelText;Отмена;Cancel;Баш тарту;Пӑрахӑҫ
AddProduct_Title;Добавить товар;Add Product;Товар өстәү;Хушни Товар Ят
AddProduct_LabelText;Добавить товар;Add Product;Товар өстәү;Товар хушни
AddProduct_GroupBoxExpiry_Text;Срок годности;Expiration date;Яраклылык срогы;Юрӑхлӑх вӑхӑчӗ
AddProduct_RadioButtonHasExpiry_Text;Есть срок;Add Product  Radio Button Has Expiry  Text;Яраклылык срогы бар;Юрӑхлӑх вӑхӑчӗ пур
AddProduct_RadioButtonNoExpiry_Text;Нет срока;Add Product  Radio Button No Expiry  Text;Яраклылык срогы юк;Юрӑхлӑх вӑхӑчӗ ҫук
AddProduct_ButtonAddText;Добавить;Add Product  Button Add Text;Өстәү;Хуш
AddProduct_ButtonCancelText;Отмена;Cancel;Баш тарту;Пӑрахӑҫ
AddProduct_TextBoxArt_Watermark;Введите артикул;Enter article number;Артикулны кертегез;Артикул кӗртӗр
AddProduct_TextBoxArt_DefaultText;Введите артикул;Enter article number;Артикулны кертегез;Артикул кӗртӗр
AdminForm_Title;Главная форма;Main Form;Төп форма;Тӗп форма
AdminForm_ButtonExitText;Выйти;Exit;Чыгу;Тух
AdminForm_ButtonReportText;Отчет;Report;Хисап;Отчет
AdminForm_ButtonCurrencyText;Выбор валюты;Currency selection;Валюта сайлау;Валютӑ суйлавӗ
AdminForm_ButtonSupplyText;Поставка;Supply;Поставка;Поставка
AdminForm_ButtonHistoryText;История отгрузок;Shipment history;Җибәрү тарихы;Ӑсату историйӗ
AdminForm_TextBoxSearch_Text;Поиск:;Search:;Эзләү:;Шырани:
AdminForm_ToolStripAddText;Добавить;Add;Өстәү;Хуш
AdminForm_ToolStripEditText;Редактировать;Edit;Үзгәртү;Улӑштар
AdminForm_ToolStripDeleteText;Удалить;Delete;Бетерү;Катӑрт
AdminForm_ToolStripProductText;Товар;Product;Товар;Товар
AdminForm_ToolStripCategoryText;Категорию;Category;Категория;Категори
AdminForm_ToolStripAdminText;Администратор;Administrator;Администратор;Администратор
Auth_Form_Title;Авторизация;Authorization;Авторизация;Кӗни Форма Ят
Auth_LabelEnter_Text;Войти;Login;Керү;Кӗр
Auth_LabelLogin_Text;Логин;Auth  Label Login  Text;Логин;Логин
Auth_LabelPassword_Text;Пароль;Auth  Label Password  Text;Серсүз;Пароль
Auth_ButtonEnter_Text;Войти;Login;Керү;Кӗр
Auth_ButtonRegister_Text;Нет аккаунта? Зарегистрироваться;Auth  Button Register  Text;Аккаунт юкмы? Теркәлергә;Аккаунт ҫук-и? Регистраци тух
Currency_Form_Title;Выбор валюты;Currency selection;Валюта сайлау;Валютӑ суйлавӗ
Currency_TextBox_Text;Выбор валюты;Currency selection;Валюта сайлау;Валютӑ суйлавӗ
Currency_ButtonChoose_Text;Выбрать;Select;Сайлау;Суйла
Currency_ButtonCancel_Text;Отмена;Cancel;Баш тарту;Пӑрахӑҫ
Shipment_Form_Title;Формирование отгрузки;Create Shipment;Отгрузканы формалаштыру;Ӑсату хатӗрлени
Shipment_LabelTitle_Text;Формирование отгрузки;Create Shipment;Отгрузканы формалаштыру;Ӑсату хатӗрлени
Shipment_LabelType_Text;Тип отгрузки;Shipment  Label Type  Text;Отгрузка төре;Ӑсату тӗсӗ
Shipment_LabelSelectProduct_Text;Выберите товар:;Shipment  Label Select Product  Text;Товарны сайлагыз:;Суйласа илӗр товар:
Shipment_LabelQuantity_Text;Введите количество товара:;Shipment  Label Quantity  Text;Товар санын кертегез:;Кӗртӗр количество товара:
Shipment_LabelRecipient_Text;Выберите получателя:;Shipment  Label Recipient  Text;Алучыны сайлагыз:;Суйласа илӗр получателя:
Shipment_LabelExpiry_Text;Срок годности:;Expiration date:;Яраклылык срогы:;Юрӑхлӑх вӑхӑчӗ:
Shipment_ButtonAdd_Text;Добавить в список;Shipment  Button Add  Text;Исемлеккә өстәү;Списокa хуш
Shipment_ButtonShipment_Text;Подтвердить отгрузку;Shipment  Button Shipment  Text;Отгрузканы раслау;Ҫирӗплетӗр ӑсатӑва
Shipment_ButtonCancel_Text;Отмена;Cancel;Баш тарту;Пӑрахӑҫ
Shipment_LabelTotalCaption_Text;Итого:;Shipment  Label Total Caption  Text;Барлыгы:;Пурӗ:
ShipmentType_Shipment;Отгрузка;Shipment Type  Shipment;Отгрузка;Ӑсату
ShipmentType_WriteOff;Списание;Shipment Type  Write Off;Списание;Списание
ShipmentType_Defect;Брак;Shipment Type  Defect;Брак;Брак
Supply_Form_Title;Формирование поставки;Create Supply;Поставканы формалаштыру;Поставка Форма Ят
Supply_LabelTitle_Text;Поставка;Supply;Поставка;Поставка
Supply_LabelProduct_Text;Выберите товар из списка:;Supply  Label Product  Text;Исемлектән товар сайлагыз:;Суйласа илӗр товар из списка:
Supply_LabelQuantity_Text;Введите количество:;Supply  Label Quantity  Text;Санын кертегез:;Кӗртӗр количество:
Supply_LabelExpiry_Text;Срок годности:;Expiration date:;Яраклылык срогы:;Юрӑхлӑх вӑхӑчӗ:
Supply_LabelSupplier_Text;Выберите поставщика:;Supply  Label Supplier  Text;Тәэмин итүчене сайлагыз:;Суйласа илӗр поставщика:
Supply_LabelCurrency_Text;Валюта закупки:;Supply  Label Currency  Text;Сатып алу валютасы:;Илӳ валютичӗ:
Supply_LabelPrice_Text;Введите цену:;Supply  Label Price  Text;Бәяне кертегез:;Кӗртӗр цену:
Supply_ButtonAddToList_Text;Добавить в список;Supply  Button Add To List  Text;Исемлеккә өстәү;Списокa хуш
Supply_ButtonConfirmSupply_Text;Подтвердить поставку;Confirm supply;Поставканы раслау;Поставкӑна ҫирӗплет
Supply_ButtonCancel_Text;Отмена;Cancel;Баш тарту;Пӑрахӑҫ
Supply_ButtonImport_Text;Импорт файла;Supply  Button Import  Text;Файл импортлау;Файл импортлани
Supply_LabelTotalCaption_Text;Итого:;Supply  Label Total Caption  Text;Барлыгы:;Пурӗ:
Supply_DataGridView_ColumnArticle;Артикул;Article;Артикул;Артикул
Supply_DataGridView_ColumnName;Название;Name;Исеме;Ячӗ
Supply_DataGridView_ColumnQuantity;Кол-во;Supply  Data Grid View  Column Quantity;Сан;Шут
Supply_DataGridView_ColumnPrice;Цена;Price;Бәя;Хак
Supply_DataGridView_ColumnTotal;Сумма;Amount;Сумма;Сумма
Supply_DataGridView_ColumnSupplier;Поставщик;Supply  Data Grid View  Column Supplier;Тәэмин итүче;Поставщик
Supply_DataGridView_ColumnExpiry;Срок годности;Expiration date;Яраклылык срогы;Юрӑхлӑх вӑхӑчӗ
DeleteCategory_Form_Title;Удалить категорию;Delete Category;Категорияне бетерү;Катӑртӑр категорине
DeleteCategory_LabelTitle_Text;Удалить категорию;Delete Category;Категорияне бетерү;Катӑртӑр категорине
DeleteCategory_ButtonDelete_Text;Удалить;Delete Category  Button Delete  Text;Бетерү;Катӑрт
DeleteCategory_ButtonCancel_Text;Отмена;Cancel;Баш тарту;Пӑрахӑҫ
DeleteProduct_Form_Title;Удалить товар;Delete Product;Товарны бетерү;Катӑртӑр товар
DeleteProduct_LabelTitle_Text;Удалить товар;Delete Product;Товарны бетерү;Катӑртӑр товар
DeleteProduct_ButtonDelete_Text;Удалить;Delete Product  Button Delete  Text;Бетерү;Катӑрт
DeleteProduct_ButtonCancel_Text;Отмена;Cancel;Баш тарту;Пӑрахӑҫ
DeleteProduct_TextBoxArt_Watermark;Введите артикул товара;Enter product article number;Товар артикулын кертегез;Товар артикулне кӗртӗр
DeleteProductWithDetails;Удаление товара: {0} - {1};Delete Product With Details;Товарны бетерү: {0} - {1};Катӑртни Товар пур детальсем
EditCategory_Form_Title;Редактировать категорию;Edit Category;Категорияне үзгәртү;Редактировать категорине
EditCategory_LabelTitle_Text;Редактировать категорию;Edit Category;Категорияне үзгәртү;Редактировать категорине
EditCategory_ButtonEdit_Text;Редактировать;Edit Category  Button Edit  Text;Үзгәртү;Улӑштар
EditCategory_ButtonCancel_Text;Отмена;Cancel;Баш тарту;Пӑрахӑҫ
EditCategory_TextBoxNewName_Watermark;Введите название;Enter name;Исемен кертегез;Ятне кӗртӗр
RedactProduct_Form_Title;Редактировать товар;Edit Product;Товарны үзгәртү;Товар улӑштарни
RedactProduct_LabelTitle_Text;Редактировать товар;Edit Product;Товарны үзгәртү;Товар улӑштарни
RedactProduct_TextBoxArt_Watermark;Артикул;Article;Артикул;Артикул
RedactProduct_TextBoxName_Watermark;Название;Name;Исеме;Ячӗ
RedactProduct_TextBoxCategory_Watermark;Категория;Category;Категория;Категори
RedactProduct_TextBoxPrice_Watermark;Цена;Price;Бәя;Хак
RedactProduct_ButtonRedact_Text;Редактировать;Redact Product  Button Redact  Text;Үзгәртү;Улӑштар
RedactProduct_ButtonCancel_Text;Отмена;Cancel;Баш тарту;Пӑрахӑҫ
Registration_Form_Title;Регистрация;Registration;Теркәлү;Регистраци Форма Ят
Registration_LabelTitle_Text;Регистрация;Registration;Теркәлү;Регистраци
Registration_LabelSurname_Text;Фамилия;Registration  Label Surname  Text;Фамилия;Фамили
Registration_LabelName_Text;Имя;Registration  Label Name  Text;Исем;Ят
Registration_LabelLastname_Text;Отчество;Registration  Label Lastname  Text;Ата исеме;Ашшӗ ячӗ
Registration_LabelLogin_Text;Логин;Registration  Label Login  Text;Логин;Логин
Registration_LabelPassword_Text;Пароль;Registration  Label Password  Text;Серсүз;Пароль
Registration_LabelConfirmPassword_Text;Подтверждение пароля;Registration  Label Confirm Password  Text;Серсүзне раслау;Пароль ҫирӗплетни
Registration_ButtonRegister_Text;Зарегистрироваться;Registration  Button Register  Text;Теркәлергә;Регистраци тух
Registration_ButtonEnter_Text;Уже есть аккаунт? Войти;Registration  Button Enter  Text;Аккаунт бармы? Керергә;Аккаунт пур-и? Кӗр
Registration_TextBoxSurname_Watermark;Введите фамилию;Enter last name;Фамилияне кертегез;Фамили кӗртӗр
Registration_TextBoxName_Watermark;Введите имя;Enter first name;Исемне кертегез;Ята кӗртӗр
Registration_TextBoxLastname_Watermark;Введите отчество;Enter patronymic;Ата исемен кертегез;Ашшӗ ятне кӗртӗр
Registration_TextBoxLogin_Watermark;Введите логин;Enter login;Логинны кертегез;Логин кӗртӗр
Registration_TextBoxPassword_Watermark;Введите пароль;Enter password;Серсүзне кертегез;Пароль кӗртӗр
Registration_TextBoxConfirmPassword_Watermark;Повторите пароль;Repeat password;Серсүзне кабатлагыз;Парольне тепӗр хут кӗртӗр
Report_Form_Title;Отчет;Report;Хисап;Отчет
Report_LabelTitle_Text;Отчет;Report;Хисап;Отчет
Report_LabelPeriod_Text;Выберите период:;Report  Label Period  Text;Периодны сайлагыз:;Период суйласа илӗр:
Report_LabelFrom_Text;с;from;башлап;ҫакран
Report_LabelTo_Text;по;to;кадәр;ҫак таран
Report_ButtonExport_Text;Экспорт файла;Report  Button Export  Text;Файл экспортлау;Файл экспортлани
Report_LabelTotalAmount_Text;Сумма(RUB):;Report  Label Total Amount  Text;Сумма(RUB):;Сумма(RUB):
Report_LabelProfit_Text;Прибыль(RUB):;Report  Label Profit  Text;Табыш(RUB):;Тупӑш(RUB):
Report_ColumnNumber;№;Report  Column Number;№;№
Report_ColumnArticle;Артикул;Article;Артикул;Артикул
Report_ColumnName;Название;Name;Исеме;Ячӗ
Report_ColumnQuantity;Количество;Quantity;Сан;Шут
Report_ColumnPrice;Цена;Price;Бәя;Хак
Report_ColumnProfit;Прибыль;Profit;Табыш;Тупӑш
Report_ColumnTotal;Сумма;Amount;Сумма;Сумма
Report_ColumnRecipient;Получатель;Recipient;Алучы;Илекен
Report_ColumnStorekeeper;Кладовщик;Storekeeper;Кладовщик;Кладовщик
Report_ColumnDate;Дата;Date;Дата;Дата
History_Form_Title;История отгрузок;Shipment history;Җибәрү тарихы;Ӑсату историйӗ
History_TextBox_Text;История отгрузок;Shipment history;Җибәрү тарихы;Ӑсату историйӗ
History_LabelFrom_Text;с;from;башлап;ҫакран
History_LabelTo_Text;по;to;кадәр;ҫак таран
History_ButtonApplyFilter_Text;Применить;Apply;Куллану;Усӑ кур
Storekeeper_Form_Title;Кладовщик - Управление складом;Storekeeper - Warehouse management;Складчы - склад белән идарә;Кладовщик - складпа управлени
Storekeeper_ButtonExitText;Выйти;Exit;Чыгу;Тух
Storekeeper_ButtonCurrencyText;Выбор валюты;Currency selection;Валюта сайлау;Валютӑ суйлавӗ
Storekeeper_ButtonSupplyText;Поставка;Supply;Поставка;Поставка
Storekeeper_ButtonShipmentText;Оформить отгрузку;Create shipment;Җибәрүне рәсмиләштерү;Ӑсату хатӗрле
Storekeeper_TextBoxSearch_Text;Поиск:;Search:;Эзләү:;Шырани:
Storekeeper_ToolStripText;Кладовщик;Storekeeper;Складчы;Кладовщик
DataGridView_ColumnArticle;Артикул;Article;Артикул;Артикул
DataGridView_ColumnName;Наименование;Name;Исеме;Ячӗ
DataGridView_ColumnCategory;Категория;Category;Категория;Категори
DataGridView_ColumnUnit;Ед. изм.;Unit;Үлч. бер.;Виҫе пӗрл.
DataGridView_ColumnExpiryDate;Срок годности;Expiration date;Яраклылык срогы;Юрӑхлӑх вӑхӑчӗ
DataGridView_ColumnPrice;Цена;Price;Бәя;Хак
DataGridView_ColumnBalance;Остаток;Stock;Калдык;Юлашки
ScrapMetal_Title;Металлолом;Scrap metal;Металл ватыгы;Металл ватӑкӗ
ScrapMetal_ReturnMessage;"Сдано на металлолом: {0} позиций
Получено возврата: {1:F2} ₽

Убыток от брака уменьшен на эту сумму.";{0} item(s) delivered as scrap metal. Return received: {1:F2} ₽. Loss from defect reduced by this amount.;"Металлоломга тапшырылды: {0} позиция
Кире кайтару алынды: {1:F2} ₽

Брактан килгән зыян бу суммага киметелде.";Металл ватӑкне панӑ: {0} позици\nТавӑру илнӗ: {1:F2} ₽\n\nБракран килнӗ убыток ҫак суммӑпа чакнӑ.
ScrapMetal_NoReturnMessage;"В отгрузке {0} металлических позиций,
которые НЕ были сданы на металлолом.

Возврат не получен.";Shipment contains {0} metal item(s) that were NOT delivered as scrap metal. No return received.;"Отгрузкада {0} металл позициясе бар, алар металлоломга тапшырылмаган.

Кире кайтару алынмады.";Ӑсатура {0} металл позицийӗ пур,\nвӗсене металл ватӑкне паман.\n\nТавӑру илмен.
Warehouse_Title;Тепловая карта склада;Warehouse heat map;Складның җылылык картасы;Склад хӗртӳ картӑ
Warehouse_SearchFound;Найдено: {0} ячеек;Found: {0} cells;Табылды: {0} күзәнәк;Тупӑннӑ: {0} ячейкӑ
Warehouse_SearchNothingFound;Ничего не найдено;Nothing found;Бернәрсә дә табылмады;Нимӗн те тупӑнмарӗ
Warehouse_SearchMinLength;Введите минимум 3 символа для поиска;Enter at least 3 characters to search;Эзләү өчен кимендә 3 символ кертегез;Шырама 3 символтан кӑшт кӗртӗр
Warehouse_SearchTitle;Поиск;Search;Эзләү;Шырани
Warehouse_SearchResultTitle;Результат поиска;Search result;Эзләү нәтиҗәсе;Шырани результачӗ
Warehouse_EmptyCell;Пусто;Empty;Буш;Пушӑ
Warehouse_NoExpiryRequired;Не требуется;Not required;Кирәк түгел;Кирлӗ мар
Warehouse_FreeCell;Свободная ячейка;Free cell;Буш күзәнәк;Пушӑ ячейкӑ
Warehouse_CellEmptyMessage;Ячейка пуста;Cell is empty;Күзәнәк буш;Ячейкӑ пушӑ
Warehouse_CellCodeLabel;Ячейка: {0};Cell: {0};Күзәнәк: {0};Ячейкӑ: {0}
Warehouse_ProductNameLabel;Товар: {0};Product: {0};Товар: {0};Товар: {0}
Warehouse_ArticleLabel;Артикул: {0};Article: {0};Артикул: {0};Артикул: {0}
Warehouse_BalanceLabel;Остаток: {0} шт;Stock: {0} pcs;Калдык: {0} данә;Юлашки: {0} данӑ
Warehouse_CategoryLabel;Категория: {0};Category: {0};Категория: {0};Категори: {0}
Warehouse_ExpiryLabel;Срок годности: {0};Expiration date: {0};Яраклылык срогы: {0};Юрӑхлӑх вӑхӑчӗ: {0}
